title,name,type,value
美食频道,小吃快餐,10,g112
美食频道,火锅,10,g110
美食频道,面包甜点,10,g117
美食频道,咖啡厅,10,g132
美食频道,西餐,10,g116
美食频道,日本,10,g113
美食频道,自助餐,10,g111
美食频道,韩国料理,10,g114
美食频道,北京菜,10,g311
美食频道,烧烤,10,g508
美食频道,粤菜,10,g103
美食频道,东南亚菜,10,g115
美食频道,川菜,10,g102
美食频道,江浙菜,10,g101
美食频道,海鲜,10,g251
美食频道,湘菜,10,g104
美食频道,素菜,10,g109
美食频道,东北菜,10,g106
美食频道,清真菜,10,g108
美食频道,新疆菜,10,g3243
美食频道,云南菜,10,g248
美食频道,西北菜,10,g26481
美食频道,贵州菜,10,g105
美食频道,鲁菜,10,g26483
美食频道,湖北菜,10,g246
美食频道,其他,10,g118
休闲娱乐频道,景点/郊游,30,g139
休闲娱乐频道,足疗按摩,30,g141
休闲娱乐频道,KTV,30,g135
休闲娱乐频道,咖啡厅,30,g132
休闲娱乐频道,电影院,30,g136
休闲娱乐频道,洗浴,30,g140
休闲娱乐频道,酒吧,30,g133
休闲娱乐频道,温泉,30,g5672
休闲娱乐频道,台球馆,30,g156
休闲娱乐频道,密室,30,g2754
休闲娱乐频道,休闲网吧,30,g20042
休闲娱乐频道,DIY手工坊,30,g144
休闲娱乐频道,私人影院,30,g20041
休闲娱乐频道,茶馆,30,g134
休闲娱乐频道,轰趴馆,30,g20040
休闲娱乐频道,桌面游戏,30,g6694
休闲娱乐频道,游乐游艺,30,g137
休闲娱乐频道,公园,30,g138
休闲娱乐频道,采摘/农家乐,30,g20038
休闲娱乐频道,真人CS,30,g20039
休闲娱乐频道,文化艺术,30,g142
休闲娱乐频道,棋牌室,30,g32732
休闲娱乐频道,更多休闲娱乐,30,g26490
酒店频道,经济型酒店,60,g171
酒店频道,五星级酒店,60,g168
酒店频道,四星级酒店,60,g169
酒店频道,公寓式酒店,60,g6693
酒店频道,青年旅舍,60,g172
酒店频道,度假村,60,g173
酒店频道,三星级酒店,60,g170
酒店频道,精品酒店,60,g6714
酒店频道,客栈旅舍,60,g25842
